"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"CoNMix for Source-free Single and Multi-target Domain Adaptation","V. Kumar; R. Lal; H. Patil; A. Chakraborty","Indian Institute of Science, Bengaluru, India; Indian Institute of Science, Bengaluru, India; Indian Institute of Science, Bengaluru, India; Indian Institute of Science, Bengaluru, India",2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),"6 Feb 2023","2023","","","4167","4177","This work introduces the novel task of Source-free Multi-target Domain Adaptation and proposes adaptation framework comprising of Consistency with Nuclear-Norm Maximization and MixUp knowledge distillation (CoNMix) as a solution to this problem. The main motive of this work is to solve for Single and Multi target Domain Adaptation (SMTDA) for the source-free paradigm, which enforces a constraint where the labeled source data is not available during target adaptation due to various privacy-related restrictions on data sharing. The source-free approach leverages target pseudo labels, which can be noisy, to improve the target adaptation. We introduce consistency between label preserving augmentations and utilize pseudo label refinement methods to reduce noisy pseudo labels. Further, we propose novel MixUp Knowledge Distillation (MKD) for better generalization on multiple target domains using various source-free STDA models. We also show that the Vision Transformer (VT) backbone gives better feature representation with improved domain transferability and class discriminability. Our proposed framework achieves the state-of-the-art (SOTA) results in various paradigms of source-free STDA and MTDA settings on popular domain adaptation datasets like Office-Home, Office-Caltech, and DomainNet. Project Page: https://sites.google.com/view/conmix-vcl","2642-9381","978-1-6654-9346-8","10.1109/WACV56688.2023.00416","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10030885","Algorithms: Machine learning architectures;formulations;and algorithms (including transfer);Vision + language and/or other modalities","Computer vision;Adaptation models;Uncertainty;Heuristic algorithms;Feature extraction;Transformers;Noise measurement","","24","","60","IEEE","6 Feb 2023","2-7 Jan. 2023","2-7 Jan. 2023","IEEE","IEEE Conferences"
"Sub-$\mu\mathrm{m}$ Axial Precision Depth Imaging with Entangled Two-Colour Hong-Ou-Mandel Microscopy","C. Torre; A. McMillan; J. Monroy-Ruz; J. C. F. Matthews","Quantum Engineering Technology Labs, University of Bristol, Bristol, UK; Quantum Engineering Technology Labs, University of Bristol, Bristol, UK; Quantum Engineering Technology Labs, University of Bristol, Bristol, UK; Quantum Engineering Technology Labs, University of Bristol, Bristol, UK",2023 Conference on Lasers and Electro-Optics Europe & European Quantum Electronics Conference (CLEO/Europe-EQEC),"4 Sep 2023","2023","","","1","1","Hong-Ou-Mandel (HOM) interference results in a modified probability of bunching events when indistinguishable photons with a relative timing offset interact at a beamsplitter. Lyons et al. recently achieved attosecond precision in time delay measurement by applying a classical Fisher information analysis to HOM interference [1]. More recently an increase in the measurement precision has been shown by detuning the central wavelengths of the signal and idler from an entangled two-colour photon pair source and applied in temperature drift detection for optical fibres [2]. Here we exploit the timing resolution of the HOM interference to implement a robust 3D imaging microscope with tuneable sensitivity from millimetre to sub-micrometre.","2833-1052","979-8-3503-4599-5","10.1109/CLEO/Europe-EQEC57999.2023.10231753","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10231753","","Temperature measurement;Temperature sensors;Optical microscopy;Three-dimensional displays;Wavelength measurement;Interference;Timing","","1","","2","IEEE","4 Sep 2023","26-30 June 2023","26-30 June 2023","IEEE","IEEE Conferences"
"A Feature Distribution Smoothing Network Based on Gaussian Distribution for QoS Prediction","T. Lu; X. Zhang; Z. Wang; M. Yan","Ministry of Education, Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), China; Ministry of Education, Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), China; Ministry of Education, Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), China; Ministry of Education, Key Laboratory of Dependable Service Computing in Cyber Physical Society (Chongqing University), China",2023 IEEE International Conference on Web Services (ICWS),"19 Sep 2023","2023","","","687","694","With the increasing number of services and their homogenization, the use of Quality of Service (QoS) for recommendations has become necessary. However, existing QoS prediction solutions have limitations in solving the noise and label imbalance problems of dataset, which greatly limit the improvement of QoS prediction accuracy. In this paper, we propose FSNet that contains a feature distribution smoothing module and an improved W-Huber loss function. The feature distribution smoothing module mitigates the effect of noise problem by fitting potential Gaussian distribution of known features with a supervised feedforward neural network. W-Huber loss function mitigates the impact of label imbalance problem on QoS prediction by reweighting the two components of Huber loss function. We conduct extensive experiments on real large-scale QoS dataset, and the results demonstrate that the proposed FSNet method outperforms existing QoS prediction methods.","2836-3868","979-8-3503-0485-5","10.1109/ICWS60048.2023.00087","Research and Development; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10248306","Service recommendation;Noisy data;Label imbalance;Feature distribution smoothing;QoS prediction","Smoothing methods;Web services;Fitting;Quality of service;Prediction methods;Interference;Gaussian distribution","","12","","27","IEEE","19 Sep 2023","2-8 July 2023","2-8 July 2023","IEEE","IEEE Conferences"
"Correntropy-Induced Wasserstein GCN: Learning Graph Embedding via Domain Adaptation","W. Wang; G. Zhang; H. Han; C. Zhang","Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Institute of Automation, the Centre for Artificial Intelligence and Robotics (HKISI_CAS), and the State Key Laboratory of Multimodal Artificial Intelligence Systems (MAIS), Chinese Academy of Sciences (CASIA), Beijing, China",IEEE Transactions on Image Processing,"18 Jul 2023","2023","32","","3980","3993","Graph embedding aims at learning vertex representations in a low-dimensional space by distilling information from a complex-structured graph. Recent efforts in graph embedding have been devoted to generalizing the representations from the trained graph in a source domain to the new graph in a different target domain based on information transfer. However, when the graphs are contaminated by unpredictable and complex noise in practice, this transfer problem is quite challenging because of the need to extract helpful knowledge from the source graph and to reliably transfer knowledge to the target graph. This paper puts forward a two-step correntropy-induced Wasserstein GCN (graph convolutional network, or CW-GCN for short) architecture to facilitate the robustness in cross-graph embedding. In the first step, CW-GCN originally investigates correntropy-induced loss in GCN, which places bounded and smooth losses on the noisy nodes with incorrect edges or attributes. Consequently, helpful information are extracted only from clean nodes in the source graph. In the second step, a novel Wasserstein distance is introduced to measure the difference in marginal distributions between graphs, avoiding the negative influence of noise. Afterwards, CW-GCN maps the target graph to the same embedding space as the source graph by minimizing the Wasserstein distance, and thus the knowledge preserved in the first step is expected to be reliably transferred to assist the target graph analysis tasks. Extensive experiments demonstrate the significant superiority of CW-GCN over state-of-the-art methods in different noisy environments.","1941-0042","","10.1109/TIP.2023.3293774","Major Project for New Generation of AI(grant numbers:2018AAA0100400); Natural Science Foundation of China(grant numbers:62076232,62072457); Xiaomi Young Talents Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10179964","Graph embedding;graph convolutional network (GCN);cross-graph embedding;domain adaptation;correntropy","Noise measurement;Knowledge transfer;Task analysis;Pollution measurement;Data mining;Proteins;Convolutional neural networks","","17","","80","CCBY","12 Jul 2023","2023","","IEEE","IEEE Journals"
"Treatment Learning Causal Transformer for Noisy Image Classification","C. -H. H. Yang; D. I. -T. Hung; Y. -C. Liu; P. -Y. Chen",Georgia Institute of Technology; Columbia University; Georgia Institute of Technology; IBM Research AI,2023 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV),"6 Feb 2023","2023","","","6128","6139","Current top-notch deep learning (DL) based vision models are primarily based on exploring and exploiting the inherent correlations between training data samples and their associated labels. However, a known practical challenge is their degraded performance against ""noisy"" data, induced by different circumstances such as spurious correlations, irrelevant contexts, domain shift, and adversarial attacks. In this work, we incorporate this binary information of ""existence of noise"" as treatment into image classification tasks to improve prediction accuracy by jointly estimating their treatment effects. Motivated from causal variational inference, we propose a transformer-based architecture, Treatment Learning Causal Transformer (TLT), that uses a latent generative model to estimate robust feature representations from current observational input for noise image classification. Depending on the estimated noise level (modeled as a binary treatment factor), TLT assigns the corresponding inference network trained by the designed causal loss for prediction. We also create new noisy image datasets incorporating a wide range of noise factors (e.g., object masking, style transfer, and adversarial perturbation) for performance benchmarking. The superior performance of TLT in noisy image classification is further validated by several refutation evaluation metrics. As a by-product, TLT also improves visual salience methods for perceiving noisy images.","2642-9381","978-1-6654-9346-8","10.1109/WACV56688.2023.00608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10030146","Applications: Psychology and cognitive science;Machine learning architectures;formulations;and algorithms (including transfer;low-shot;semi-;self-;and un-supervised learning)","Deep learning;Visualization;Correlation;Perturbation methods;Training data;Benchmark testing;Transformers","","8","","97","IEEE","6 Feb 2023","2-7 Jan. 2023","2-7 Jan. 2023","IEEE","IEEE Conferences"
"Dynamic Deployment of Fault Detection Models","D. Mailer; G. Steindl; W. Kastner","Institute of Computer Engineering TU Wien, Vienna, Austria; Institute of Computer Engineering TU Wien, Vienna, Austria; Institute of Computer Engineering TU Wien, Vienna, Austria",2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),"12 Oct 2023","2023","","","1","8","This paper describes an approach for integrating a Machine Learning (ML) model for fault detection into an Asset Administration Shell (AAS), focusing on the seamless deployment of updated versions of this model during operation without causing downtime in production processes. To this end, a generic submodel was developed that conforms to the AAS metamodel definition and can support different types of ML models and application scenarios. In addition, three deployment strategies were identified that allow switching between model versions without downtime. Evolved concepts were evaluated with a proof-of-concept to illustrate the applicability and suitability of the approach. The evaluation shows that the most appropriate deployment strategy depends on the specific use case.","1946-0759","979-8-3503-3991-8","10.1109/ETFA54631.2023.10275370","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275370","Asset Administration Shell;Fault Detection;Containerization;Software Deployment;Zero Downtime","Fault detection;Focusing;Switches;Production;Machine learning;Manufacturing automation","","1","","30","IEEE","12 Oct 2023","12-15 Sept. 2023","12-15 Sept. 2023","IEEE","IEEE Conferences"
"RoS-KD: A Robust Stochastic Knowledge Distillation Approach for Noisy Medical Imaging","A. Jaiswal; K. Ashutosh; J. F. Rousseau; Y. Peng; Z. Wang; Y. Ding",UT Austin; UT Austin; UT Austin; Weill Cornell Medicine; UT Austin; UT Austin,2022 IEEE International Conference on Data Mining (ICDM),"1 Feb 2023","2022","","","981","986","AI-powered Medical Imaging has recently achieved enormous attention due to its ability to provide fast-paced healthcare diagnoses. However, it usually suffers from a lack of high-quality datasets due to high annotation cost, interobserver variability, human annotator error, and errors in computer-generated labels. Deep learning models trained on noisy labelled datasets are sensitive to the noise type and lead to less generalization on the unseen samples. To address this challenge, we propose a Robust Stochastic Knowledge Distillation (RoS-KD) framework which mimics the notion of learning a topic from multiple sources to ensure deterrence in learning noisy information. More specifically, RoS-KD learns a smooth, well-informed, and robust student manifold by distilling knowledge from multiple teachers trained on overlapping subsets of training data. Our extensive experiments on popular medical imaging classification tasks (cardiopulmonary disease and lesion classification) using real-world datasets, show the performance benefit of RoS-KD, its ability to distill knowledge from many popular large networks (ResNet-50, DenseNet-121, MobileNetV2) in a comparatively small network, and its robustness to adversarial attacks (PGD, FSGM). More specifically, RoS-KD achieves >2% and > 4% improvement on F1-score for lesion classification and cardiopulmonary disease classification tasks, respectively, when the underlying student is ResNet-18 against recent competitive knowledge distillation baseline. Additionally, on cardiopulmonary disease classification task, RoS-KD outperforms most of the SOTA baselines by ~1% gain in AUC score.","2374-8486","978-1-6654-5099-7","10.1109/ICDM54844.2022.00118","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10027660","Knowledge distillation;Noisy Learning;Cardiopulmonary Disease Classification;Lesion Classification","Knowledge engineering;Smoothing methods;Stochastic processes;Training data;Robustness;Noise measurement;Lesions","","6","","29","IEEE","1 Feb 2023","28 Nov.-1 Dec. 2022","28 Nov.-1 Dec. 2022","IEEE","IEEE Conferences"
"Weakly Supervised Domain Adversarial Neural Network for Deforestation Detection in Tropical Forests","P. J. S. Vega; G. A. O. P. da Costa; M. X. O. Adarme; J. D. B. Castro; R. Q. Feitosa","LaTIM, INSERM, UMR 1101, University Brest, Brest, France; State University of Rio de Janeiro, Rio de Janeiro, Brazil; Pontifical Catholic University of Rio de Janairo, Rio de Janeiro, Brazil; McMaster University, Hamilton, ON, Canada; Pontifical Catholic University of Rio de Janairo, Rio de Janeiro, Brazil",IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,"28 Nov 2023","2023","16","","10264","10278","Domain adaptation has proven to be suitable for alleviating domain discrepancies, which hinder the generalization capacity of classifiers. Among a few alternatives, domain adaptation techniques that align features in a domain-agnostic space through adversarial learning have been widely investigated. Nevertheless, such an approach often implies the deterioration of feature discriminability as a side effect of the adversarial alignment, which does not take into consideration class labels of the target domain samples. We advocate that weakly-supervised learning can mitigate that problem, as noisy labels for the target domain samples may serve to sustain class discriminability during the feature alignment procedure. Therefore, in this work we propose a weakly-supervised, adversarial domain adaptation method for a change detection task based on the Domain Adversarial Neural Network (DANN) strategy. We assessed the performance of the proposed method on a deforestation detection application, conducting experiments on sites of the Amazon and Cerrado biomes using Landsat-8 images. The results showed that the inclusion of weak supervision in the domain adaptation procedure provided higher accuracies than the original DANN strategy, which did not prescribe any supervision for the selection of target domain samples in training. On average, the Average Precision and F1-score values increased by 10.1\% and 12.6\% respectively with the use of the proposed method. Additionally, our method achieved compatible performances with the ones obtained by state-of-the-art domain adaptation methods. To the best of our knowledge, the proposed method is the first weakly-supervised domain adaptation strategy conceived for deforestation detection and, in general, for change detection.","2151-1535","","10.1109/JSTARS.2023.3327573","Coordenação de Aperfeiçoamento de Pessoal de Nível Superior; Conselho Nacional de Desenvolvimento Científico e Tecnológico; Fundação de Amparo à Pesquisa do Estado do Rio de Janeiro; NVIDIA Corporation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10295968","Change detection (CD);deep learning (DL);deforestation detection;domain adaptation (DA);weak supervision","Training;Feature extraction;Task analysis;Remote sensing;Noise measurement;Neural networks;Earth","","5","","76","CCBYNCND","25 Oct 2023","2023","","IEEE","IEEE Journals"
"A Secure and Resilient 6G Architecture Vision of the German Flagship Project 6G-ANNA","M. Hoffmann; G. Kunzmann; T. Dudda; R. Irmer; A. Jukan; G. Macher; A. Ahmad; F. R. Beenen; A. Bröring; F. Fellhauer; G. P. Fettweis; F. H. P. Fitzek; N. Franchi; F. Gast; B. Haberland; S. Hoppe; S. Joodaki; N. P. Kuruvatti; C. Li; M. Lopez; F. Mehmeti; T. Meyerhoff; L. Miretti; G. T. Nguyen; M. Parvini; R. Pries; R. F. Schaefer; P. Schneider; D. A. Schupke; S. Strassner; H. Stubbe; A. M. Voicu","Nokia Solutions and Networks GmbH, Munich, Germany; Nokia Solutions and Networks GmbH, Munich, Germany; Ericsson GmbH, Herzogenrath, Germany; Vodafone GmbH, Dresden, Germany; Department of Communication Networks, Technische Universität Braunschweig, Braunschweig, Germany; Smart Mobile Labs AG, Munich, Germany; PHYSEC GmbH, Bochum, Germany; Robert Bosch GmbH, Cross-Domain Computing Solutions, Stuttgart, Germany; Siemens AG, Munich, Germany; Robert Bosch GmbH, Cross-Domain Computing Solutions, Stuttgart, Germany; Vodafone Chair Mobile Communications Systems, Technische Universität Dresden, Dresden, Germany; Deutsche Telecom Chair of Communication Networks, Technische Universität Dresden, Dresden, Germany; Chair of Electrical Smart City Systems, Friedrich-Alexander-Universität Erlangen-Nürnberg, Erlangen, Germany; Vodafone Chair Mobile Communications Systems, Technische Universität Dresden, Dresden, Germany; Nokia Solutions and Networks GmbH, Stuttgart, Germany; Nokia Solutions and Networks GmbH, Munich, Germany; Chair for Distributed Signal Processing, RWTH Aachen University, Aachen, Germany; Institute of Wireless Communications and Radio Positioning (WICON), Rheinland-Pfälzische Technische Universität Kaiserslautern-Landau, Kaiserslautern, Germany; Chair of Digital Communication Systems, Ruhr University Bochum, Bochum, Germany; Ericsson GmbH, Herzogenrath, Germany; Chair of Communication Networks, Technische Universität München, Munich, Germany; Airbus, Central Research and Technology, Munich, Germany; Fraunhofer Heinrich Hertz Institute, Berlin, Germany; Haptic Communication Systems, Technische Universität Dresden, Dresden, Germany; Vodafone Chair Mobile Communications Systems, Technische Universität Dresden, Dresden, Germany; Nokia Solutions and Networks GmbH, Munich, Germany; Chair of Information Theory and Machine Learning, Technische Universität Dresden, Dresden, Germany; Nokia Solutions and Networks GmbH, Munich, Germany; Airbus, Central Research and Technology, Munich, Germany; Airbus Secure Land Communications GmbH, Ulm, Germany; Department of Computer Engineering, Technische Universität München, Garching, Germany; Ericsson GmbH, Herzogenrath, Germany",IEEE Access,"3 Oct 2023","2023","11","","102643","102660","The 6th generation of wireless mobile networks is emerging as a paradigm shifting successor to unifying the experience across the physical, digital, and human worlds, pushing boundaries on performance in capacity, throughput, latency, scalability, flexibility, and reliability, while prominently addressing new major factors, including sustainability, security and privacy, as well as digital inclusion. Many research institutions and initiatives worldwide have started investigations to make 6G a reality by approximately 2030. In Germany, federal funding from the German Ministry of Education and Research (BMBF) supports a large-scale 6G initiative, with its lighthouse project, called 6G-ANNA. The core aim of this project is to develop the key aspects of a holistic, sustainable, secure, and resilient 6G system design that will simplify and improve the interaction between humans, digital assets, and the physical environment. This paper shares the vision of the project’s main technical working areas and advances, spanning topics from radio access, integration of multiple networks, as well as automation and simplification in networking to new applications and testbed scenarios, including real-time digital twins and extended reality. The industrial impact and relevance of standardization makes 6G-ANNA uniquely positioned to lead and realize the vision of next-generation wireless mobile network technologies, systems, and applications.","2169-3536","","10.1109/ACCESS.2023.3313505","German Federal Ministry of Education and Research (BMBF)(grant numbers:6G-ANNA); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10244210","6G;communications systems;wireless communications;network architecture;resiliency;security","6G mobile communication;Security;3GPP;Industries;5G mobile communication;Sustainable development;Wireless communication;Network architecture;Resilience","","45","","52","CCBY","8 Sep 2023","2023","","IEEE","IEEE Journals"
"Less Is More: Surgical Phase Recognition From Timestamp Supervision","X. Ding; X. Yan; Z. Wang; W. Zhao; J. Zhuang; X. Xu; X. Li","Department of Electronic and Computer Engineering, Hong Kong University of Science and Technology, Hong Kong, SAR, China; Department of Cardiovascular Surgery, Guangdong Cardiovascular Institute, Guangdong Academy of Medical Sciences, Guangzhou, China; Department of Electronic and Computer Engineering, Hong Kong University of Science and Technology, Hong Kong, SAR, China; School of Physics, Beihang University, Beijing, China; Department of Cardiovascular Surgery, Guangdong Provincial People’s Hospital, Guangdong Academy of Medical Sciences, Southern Medical University, Guangzhou, China; Department of Cardiovascular Surgery, Guangdong Provincial People’s Hospital, Guangdong Academy of Medical Sciences, Southern Medical University, Guangzhou, China; Department of Electronic and Computer Engineering, Hong Kong University of Science and Technology, Hong Kong, SAR, China",IEEE Transactions on Medical Imaging,"1 Jun 2023","2023","42","6","1897","1910","Surgical phase recognition is a fundamental task in computer-assisted surgery systems. Most existing works are under the supervision of expensive and time-consuming full annotations, which require the surgeons to repeat watching videos to find the precise start and end time for a surgical phase. In this paper, we introduce timestamp supervision for surgical phase recognition to train the models with timestamp annotations, where the surgeons are asked to identify only a single timestamp within the temporal boundary of a phase. This annotation can significantly reduce the manual annotation cost compared to the full annotations. To make full use of such timestamp supervisions, we propose a novel method called uncertainty-aware temporal diffusion (UATD) to generate trustworthy pseudo labels for training. Our proposed UATD is motivated by the property of surgical videos, i.e., the phases are long events consisting of consecutive frames. To be specific, UATD diffuses the single labelled timestamp to its corresponding high confident (i.e., low uncertainty) neighbour frames in an iterative way. Our study uncovers unique insights of surgical phase recognition with timestamp supervision: 1) timestamp annotation can reduce  ${74}\%$  annotation time compared with the full annotation, and surgeons tend to annotate those timestamps near the middle of phases; 2) extensive experiments demonstrate that our method can achieve competitive results compared with full supervision methods, while reducing manual annotation costs; 3) less is more in surgical phase recognition, i.e., less but discriminative pseudo labels outperform full but containing ambiguous frames; 4) the proposed UATD can be used as a plug-and-play method to clean ambiguous labels near boundaries between phases, and improve the performance of the current surgical phase recognition methods. Code and annotations obtained from surgeons are available at https://github.com/xmed-lab/TimeStamp-Surgical.","1558-254X","","10.1109/TMI.2023.3242980","Shenzhen Municipal Central Government Guides Local Science and Technology Development Special Funded Projects(grant numbers:2021Szvup139); Hong Kong University of Science and Technology (HKUST)- Beijing Institute of Collaborative Innovation (BICI) Exploratory Fund(grant numbers:HCIC-004); Research Grants Council of the Hong Kong Special Administrative Region, China(grant numbers:T45-401/22-N); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10043791","Surgical phase recognition;timestamp supervision;uncertainty estimation","Annotations;Surgery;Videos;Costs;Manuals;Training;Long short term memory","Surgery, Computer-Assisted","19","","71","IEEE","13 Feb 2023","June 2023","","IEEE","IEEE Journals"
"Character Recognition in Images under High Noise Levels","A. Konanykhin; T. Konanykhina; V. Panishchev","Faculty of Fundamental and Applied Informatics, South-West State University, Kursk, Russia; Faculty of Fundamental and Applied Informatics, South-West State University, Kursk, Russia; Faculty of Fundamental and Applied Informatics, South-West State University, Kursk, Russia",2023 International Russian Automation Conference (RusAutoCon),"9 Oct 2023","2023","","","930","935","The task of extracting information in the form of text from scanned or photographed objects using Optical Character Recognition (OCR) is an important and ubiquitous technology for digitizing and indexing physical documents. Existing technologies have shown to work correctly with near-ideal documents, but if the document is visually degraded or contains non-text elements, the quality of OCR can be greatly affected, especially due to false detections. In this article, we present an improved detection network with a masking system to improve the quality of document recognition. By filtering out non-text elements in an image, we can use document-level OCR to include contextual information to improve OCR results. We conduct a single evaluation of a publicly available data set, demonstrating the usefulness and broad applicability of our method. In addition, we present data and calculation results of a categorical cross entropy function specially tuned to improve data discovery results.","2836-614X","979-8-3503-4555-1","10.1109/RusAutoCon58002.2023.10272925","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10272925","text recognition;symbols;high noise level;computer vision;neural network","Training;Image recognition;Text recognition;Optical character recognition;Neural networks;Entropy;Character recognition","","","","21","IEEE","9 Oct 2023","10-16 Sept. 2023","10-16 Sept. 2023","IEEE","IEEE Conferences"
"Learning to Purification for Unsupervised Person Re-Identification","L. Lan; X. Teng; J. Zhang; X. Zhang; D. Tao","Institute for Quantum Information, and the State Key Laboratory of High Performance Computing, National University of Defense Technology, Changsha, China; Institute for Quantum Information, and the State Key Laboratory of High Performance Computing, National University of Defense Technology, Changsha, China; School of Computer Science, Faculty of Engineering, The University of Sydney, Darlington, NSW, Australia; Institute for Quantum Information, and the State Key Laboratory of High Performance Computing, National University of Defense Technology, Changsha, China; JD Explore Academy, Beijing, China",IEEE Transactions on Image Processing,"15 Jun 2023","2023","32","","3338","3353","Unsupervised person re-identification is a challenging and promising task in computer vision. Nowadays unsupervised person re-identification methods have achieved great progress by training with pseudo labels. However, how to purify feature and label noise is less explicitly studied in the unsupervised manner. To purify the feature, we take into account two types of additional features from different local views to enrich the feature representation. The proposed multi-view features are carefully integrated into our cluster contrast learning to leverage more discriminative cues that the global feature easily ignored and biased. To purify the label noise, we propose to take advantage of the knowledge of teacher model in an offline scheme. Specifically, we first train a teacher model from noisy pseudo labels, and then use the teacher model to guide the learning of our student model. In our setting, the student model could converge fast with the supervision of the teacher model thus reduce the interference of noisy labels as the teacher model greatly suffered. After carefully handling the noise and bias in the feature learning, our purification modules are proven to be very effective for unsupervised person re-identification. Extensive experiments on two popular person re-identification datasets demonstrate the superiority of our method. Especially, our approach achieves a state-of-the-art accuracy 85.8% @mAP and 94.5% @Rank-1 on the challenging Market-1501 benchmark with ResNet-50 under the fully unsupervised setting. Code has been available at: https://github.com/tengxiao14/Purification_ReID.","1941-0042","","10.1109/TIP.2023.3278860","National Grand Research and Development Plan(grant numbers:2020AAA0103501); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10137428","Clustering purification;knowledge distillation;unsupervised person ReID","Adaptation models;Training;Purification;Noise measurement;Clustering algorithms;Task analysis;Unsupervised learning","Humans;Learning;Benchmarking","85","","74","IEEE","26 May 2023","2023","","IEEE","IEEE Journals"
"Machine Learning Engineering in Action","B. Wilson",Manning Publications,Machine Learning Engineering in Action,"","2022","","","","","Field-tested tips, tricks, and design patterns for building machine learning projects that are deployable, maintainable, and secure from concept to production. In Machine Learning Engineering in Action, you will learn:  Evaluating data science problems to find the most effective solution Scoping a machine learning project for usage expectations and budget Process techniques that minimize wasted effort and speed up production Assessing a project using standardized prototyping work and statistical validation Choosing the right technologies and tools for your project Making your codebase more understandable, maintainable, and testable Automating your troubleshooting and logging practices  Ferrying a machine learning project from your data science team to your end users is no easy task. Machine Learning Engineering in Action will help you make it simple. Inside, you’ll find fantastic advice from veteran industry expert Ben Wilson, Principal Resident Solutions Architect at Databricks.  Ben introduces his personal toolbox of techniques for building deployable and maintainable production machine learning systems. You’ll learn the importance of Agile methodologies for fast prototyping and conferring with stakeholders, while developing a new appreciation for the importance of planning. Adopting well-established software development standards will help you deliver better code management, and make it easier to test, scale, and even reuse your machine learning code. Every method is explained in a friendly, peer-to-peer style and illustrated with production-ready source code.","","9781617298714","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10280550.pdf&bkn=10280550&pdfType=book","","","","","","","","31 Oct 2023","","","Manning","Manning eBooks"
"Improving System Configurations Using Domain Knowledge Assisted Semi-Supervised Learning","N. Mohammadi Koushki; S. Sondur; K. Kant","Computer and Information Sciences, Temple University, Philadelphia, USA; Computer and Information Sciences, Temple University, Philadelphia, USA; Computer and Information Sciences, Temple University, Philadelphia, USA",2023 19th International Conference on Network and Service Management (CNSM),"28 Nov 2023","2023","","","1","5","Given the difficulty in obtaining adequate data from production systems, characterizing performance as a function of configuration variables (CVs) via supervised learning is difficult, and the use of standard semi-supervised learning (SSL) techniques may or may not help. In this paper, we describe a knowledge-assisted (KA) SSL algorithm that determines the confidence level of the generated data independently based on the domain knowledge. We demonstrate that such an approach outperforms plain SSL with the most popular SSL algorithms for all the workloads used in this study.","2165-963X","978-3-903176-59-1","10.23919/CNSM59352.2023.10327877","NSF(grant numbers:CNS-2011252); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10327877","configuration;semi-supervised learning;data argumentation;pseudo-labeled data;confidence measure","Production systems;Machine learning algorithms;Supervised learning;Machine learning;Semisupervised learning;Predictive models;Prediction algorithms","","1","","13","","28 Nov 2023","30 Oct.-2 Nov. 2023","30 Oct.-2 Nov. 2023","IEEE","IEEE Conferences"
